2026-04-08 17:48:40,466 | INFO | Logging initialized. Log file: results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_30498/log_20260408_1748.log
2026-04-08 17:48:40,466 | INFO | Run started.
2026-04-08 17:48:40,466 | INFO | Arguments: {'prompt': 'A bear is performing a handstand in the park', 'seed': 30498, 'height': 1024, 'width': 1024, 'num_inference_steps': 50, 'guidance_scale': 3.5, 'out_dir': 'results_compare'}
2026-04-08 17:48:40,509 | INFO | System status @ startup: {'python_pid': 929, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 0.0, 'cuda_reserved_mb': 0.0, 'ram_total_mb': 13902.19, 'ram_available_mb': 12714.63}
2026-04-08 17:48:40,509 | INFO | Preparing SAP decomposition prompts.
2026-04-08 17:49:05,830 | INFO | SAP decomposition ready: {'explanation': 'A bear is a quadruped, whereas a handstand is a human-specific acrobatic pose that requires bipedal balance. Starting with a man stabilizes the inverted geometry and scene layout before the model transitions to the animal identity.', 'prompts_list': ['A man doing a handstand in the park', 'A person in a bear costume doing a handstand in the park', 'A bear performing a handstand in the park'], 'switch_prompts_steps': [3, 7]}
2026-04-08 17:49:05,830 | INFO | Generation params (shared): {'height': 1024, 'width': 1024, 'num_inference_steps': 50, 'generator': [<torch._C.Generator object at 0x78177af1beb0>], 'num_images_per_prompt': 1, 'guidance_scale': 3.5}
2026-04-08 17:49:05,830 | INFO | Loading model for no-SAP generation.
2026-04-08 17:49:05,830 | INFO | System status @ before_no_sap_generate: {'python_pid': 929, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 0.0, 'cuda_reserved_mb': 0.0, 'ram_total_mb': 13902.19, 'ram_available_mb': 12704.77}
2026-04-08 17:49:07,171 | INFO | Generating image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_30498/no_sap.png
2026-04-08 17:51:36,490 | INFO | Saved image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_30498/no_sap.png
2026-04-08 17:51:36,507 | INFO | no-SAP generation complete. Releasing model and memory.
2026-04-08 17:51:37,325 | INFO | Running garbage collection.
2026-04-08 17:51:45,732 | INFO | Clearing CUDA cache.
2026-04-08 17:51:45,742 | INFO | System status @ after_no_sap_cleanup: {'python_pid': 929, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 9.12, 'cuda_reserved_mb': 22.0, 'ram_total_mb': 13902.19, 'ram_available_mb': 10615.27}
2026-04-08 17:51:45,743 | INFO | Loading model from scratch for SAP generation.
2026-04-08 17:51:45,744 | INFO | System status @ before_sap_generate: {'python_pid': 929, 'cuda_available': True, 'cuda_device_count': 1, 'cuda_device_name': 'NVIDIA GeForce RTX 3080 Laptop GPU', 'cuda_total_memory_mb': 16383.5, 'cuda_allocated_mb': 9.12, 'cuda_reserved_mb': 22.0, 'ram_total_mb': 13902.19, 'ram_available_mb': 10615.27}
2026-04-08 17:51:47,445 | INFO | Generating image -> results_compare/a_bear_is_performing_a_handstand_in_the_park/seed_30498/sap.png
